idx,input,output
84,"전라남도, Haenam-gun, , 2586-0, (송지면) MUN AP",전라남도 해남군 땅끝해안로 2586-0 (송지면)
85, 38-0 Oeillyang-gil Gyeongsangbuk-do (대가야읍) 1001ho1001동,경상북도 고령군 외일량길 38-0 (대가야읍)
86,"31-0, *^^* , Hanjae-gil, 무주군, Jeollabuk-do",전라북도 무주군 한재길 31-0 (무풍면)
87, 15-8 Paju-si 경기도,경기도 파주시 오류골길 15-8 (법원읍)
88,"1113-0, 문 앞에 놔주세요 평화로, 화천군, 강원특별자치도",강원특별자치도 화천군 평화로 1113-0 (화천읍)
89,"진도군,85-5,Jeongji-gil",전라남도 진도군 정지길 85-5 (의신면)
90,", 45-0, Hwajeong-ro 309beon-gil, Seo-gu, Gwangju, (농성2동)",광주광역시 서구 화정로309번길 45-0 (농성2동)
91,84-0  Namwon-si 전라북도,전라북도 남원시 고산길 84-0 (도통동)
92,"진정1길,24-0,,Hadong-gun,경상남도,(금남면) 이음&",경상남도 하동군 진정1길 24-0 (금남면)
93,"5-0, Gijeoguidoseogwan 1-gil, Suncheon-si, 전라남도",전라남도 순천시 기적의도서관1길 5-0 (왕조2동)
94,"Republic of Korea 185-10, Hugi-gil, Cheongwon-gu, Cheongju-si, Chungcheongbuk-do",충청북도 청주시 청원구 후기길 185-10 (오창읍)
95,"31-0, 대안길, 순천시, Jeollanam-do",전라남도 순천시 대안길 31-0 (해룡면)
96,"충주시,17-0,Geumbong 3-gil",충청북도 충주시 금봉3길 17-0 (용산동)
97,"Gyeongsangnam-do,40-5,마장로3길,의령군,Gyeongsangnam-do",경상남도 의령군 마장로3길 40-5 (유곡면)
98, 문 앞에 놔주세요 27-1 Haewol-ro 168beon-gil 충청남도 (취암동),충청남도 논산시 해월로168번길 27-1 (취암동)
99,"100% Gyeonggi-do, 평택시, , 25-1, (청북읍)",경기도 평택시 어소안길 25-1 (청북읍)
100,"Suyeong Tax Office Building파란건물 9-0, 관암1길, Chungju-si, Chungcheongbuk-do",충청북도 충주시 관암1길 9-0 (동량면)
101,"1420-27, Gahwa-ro, Gapyeong-gun, Gyeonggi-do",경기도 가평군 가화로 1420-27 (북면)
102,"문 앞에 놔주세요 강원특별자치도,75-0,Samil-ro,Hoengseong-gun,강원특별자치도",강원특별자치도 횡성군 삼일로 75-0 (횡성읍)
103,63-0 @KIM  청주시 청원구 Chungcheongbuk-do,충청북도 청주시 청원구 외남로15번길 63-0 (오근장동)
104,"Geomjun 2-gil, 381-30, 경기도, 양주시",경기도 양주시 검준2길 381-30 (은현면)
105,26-1  Goheung-gun Jeollanam-do,전라남도 고흥군 동신길 26-1 (도화면)
106,"거창군,1190-0,Jisan-ro",경상남도 거창군 지산로 1190-0 (가조면)
107,"21-0, , Happobuk 22-gil, 100% Masanhappo-gu, Changwon-si, 경상남도",경상남도 창원시 마산합포구 합포북22길 21-0 (합포동)
108,문앞 광주광역시-677-0-Hanam-daero-북구-광주광역시,광주광역시 북구 하남대로 677-0 (동림동)
109,", 753-0, Sogeumgang-ro, 정선군, 강원특별자치도, 노크 x (화암면)",강원특별자치도 정선군 소금강로 753-0 (화암면)
110,"진광로, 376-0, Chungcheongbuk-do, 진천군",충청북도 진천군 진광로 376-0 (이월면)
111,"충청북도,(대강면),Danyang-gun,괴평길,32-9 100%",충청북도 단양군 괴평길 32-9 (대강면)
112,"서울특별시, 은평구, Republic of Korea , 11-0, (불광제1동)",서울특별시 은평구 통일로78가길 11-0 (불광제1동)
113, 44-15 Yangpyeong-gun 경기도,경기도 양평군 옥천돌고갯길 44-15 (옥천면)
114, 14-15 Cheongnim 1-gil 경상남도 (남상면),경상남도 거창군 청림1길 14-15 (남상면)
115,"63-0, , Eupbu 1-gil, Yecheon-gun, 경상북도",경상북도 예천군 읍부1길 63-0 (용궁면)
116,"호반로, 2133-0, 충청북도, 제천시 이음&",충청북도 제천시 호반로 2133-0 (청풍면)
117, 88-0 평택시 MUN AP 경기도,경기도 평택시 남양만로 88-0 (포승읍)
118,"전라남도, Goheung-gun, , 479-1, (두원면) Republic of Korea",전라남도 고흥군 두원로 479-1 (두원면)
119,"47-10, Dorim-gil, A동 무안군, 전라남도",전라남도 무안군 도림길 47-10 (청계면)
120,"100% OFFICE 366-0, 주라위길, Paju-si, Gyeonggi-do",경기도 파주시 주라위길 366-0 (파주읍)
121,"Bokpyeong-gil, 2-5, 100% 전라남도, 해남군",전라남도 해남군 복평길 2-5 (해남읍)
122,"136-3, 100% office Sangimsil-gil, Geochang-gun, 경상남도",경상남도 거창군 상임실길 136-3 (주상면)
123,", 5-12, 범득골길, 김제시, Jeollabuk-do, (요촌동)",전라북도 김제시 범득골길 5-12 (요촌동)
124,"보성군,90-0,Bongnaeseondol-gil *^^*",전라남도 보성군 복내선돌길 90-0 (복내면)
125,"5-9, , Ganggudaege 1-gil, 영덕군, Gyeongsangbuk-do",경상북도 영덕군 강구대게1길 5-9 (강구면)
126,"5-1, , Gyeongchun-ro 1283beon-gil, 노크 x Namyangju-si, 경기도",경기도 남양주시 경춘로1283번길 5-1 (평내동)
127,"100,1001 김&장 customer office  212-1 화성시 Gyeonggi-do",경기도 화성시 태안로95번길 212-1 (진안동)
128, 34-6 Gangjin-gun Jeollanam-do 아이가 자고 있어요.,전라남도 강진군 낙산길 34-6 (병영면)
129,"50-0, Gyeonggang-ro hakgok 2-gil, 횡성군, Gangwon-do",강원특별자치도 횡성군 경강로학곡2길 50-0 (횡성읍)
130,"경상남도,(사남면),Sacheon-si,능화길,112-27 문 앞에 놔주세요",경상남도 사천시 능화길 112-27 (사남면)
131,", 230-4, 송학산로, Yeongwol-gun, 강원특별자치도, (주천면)",강원특별자치도 영월군 송학산로 230-4 (주천면)
132,"customs office 100% 전라남도,(나산면),함평군,Suha-gil,65-0",전라남도 함평군 수하길 65-0 (나산면)
133,1001ho1001동 전라북도-16-0-Samil-ro-임실군-전라북도,전라북도 임실군 삼일로 16-0 (오수면)
134,Jeollabuk-do-139-0-Dogye-gil-Wanju-gun-Jeollabuk-do,전라북도 완주군 도계길 139-0 (용진읍)
135,"경상남도,26-0,Seochonguseongmol-gil,Hadong-gun,경상남도",경상남도 하동군 서촌구석몰길 26-0 (양보면)
136,13-0  Jindo-gun Jeollanam-do,전라남도 진도군 내연동길 13-0 (임회면)
137,"2725-67, , 호국로, Pocheon-si, Gyeonggi-do",경기도 포천시 호국로 2725-67 (영중면)
138, 215-3 동외로 경상남도 (고성읍) 이음&,경상남도 고성군 동외로 215-3 (고성읍)
139,인천광역시-Seo-gu-Okbit-ro-4-0-(청라3동) 1001ho1001동,인천광역시 서구 옥빛로 4-0 (청라3동)
140,"충청남도, 당진시, , 111-30, (순성면)",충청남도 당진시 대촌2길 111-30 (순성면)
141,36-35  Yeonggwang-gun Jeollanam-do,전라남도 영광군 칠산로5길 36-35 (염산면)
142,"Wolpyeong-gil, 150-17, 전라남도, 함평군",전라남도 함평군 월평길 150-17 (나산면)
143,"1519-0, 예당로, 예산군, 충청남도",충청남도 예산군 예당로 1519-0 (응봉면)
144,"7-0, , 남문2길, 양양군, 강원특별자치도 @KIM",강원특별자치도 양양군 남문2길 7-0 (양양읍)
145,"전라북도,(왕궁면),Iksan-si,황암길,37-0",전라북도 익산시 황암길 37-0 (왕궁면)
146,73-0  지하&상가 고흥군 전라남도,전라남도 고흥군 축정2길 73-0 (봉래면)
147,"26-0, , 상원1길, 성동구, Seoul",서울특별시 성동구 상원1길 26-0 (성수1가제2동)
148,"남원시,15-4,덕과덕동안길 지하&상가",전라북도 남원시 덕과덕동안길 15-4 (덕과면)
149,"부산광역시,(초량제3동),동구,초량로,36-0 지하&상가",부산광역시 동구 초량로 36-0 (초량제3동)
150,"아이가 자고 있어요. 경기도, Uiwang-si, , 43-0, (오전동)",경기도 의왕시 고래들길 43-0 (오전동)
151,"79-0, Yuljin 2-gil, Hapcheon-gun, Gyeongsangnam-do",경상남도 합천군 율진2길 79-0 (율곡면)
152,", 3276-0, 북부로, 제천시, Chungcheongbuk-do, (송학면)",충청북도 제천시 북부로 3276-0 (송학면)
153,Seoul-관악구-인헌1길-55-0-(인헌동),서울특별시 관악구 인헌1길 55-0 (인헌동)
154,"Namcheon-gil,127-0,,Muan-gun,Jeollanam-do,(몽탄면) @KIM",전라남도 무안군 남천길 127-0 (몽탄면)
155,"8-3, Janggusil-gil 74beon-gil, 음성군, 충청북도",충청북도 음성군 장구실길74번길 8-3 (소이면)
156,"Jeollanam-do,86-4,Seogeochado 1-gil,Jindo-gun,Jeollanam-do",전라남도 진도군 서거차도1길 86-4 (조도면거차출장소)
157, 53-0 A동 Gokseong-gun 전라남도,전라남도 곡성군 무창길 53-0 (옥과면)
158,경기도-남양주시-Jaejaegi-ro 149beon-gil-23-0-(화도읍남부출장소) 지하&상가,경기도 남양주시 재재기로149번길 23-0 (화도읍남부출장소)
159,"경상남도,(대동면),Gimhae-si,Wondong-gil,75-2",경상남도 김해시 원동길 75-2 (대동면)
160,"부여군,14-20,Samsan-ro",충청남도 부여군 삼산로 14-20 (외산면)
161,"100% office , 40-0, Ori-ro 21-gil, Guro-gu, Seoul, (수궁동)",서울특별시 구로구 오리로21길 40-0 (수궁동)
162,", 15-6, 학사루길, 함양군, 경상남도, (함양읍)",경상남도 함양군 학사루길 15-6 (함양읍)
163,"108-6, Gaya-daero 482beon-gil, 부산진구, 부산광역시",부산광역시 부산진구 가야대로482번길 108-6 (가야제2동)
164, A동 36-1 Sagok 1-gil 전라북도 (계남면),전라북도 장수군 사곡1길 36-1 (계남면)
165,", *^^* 43-0, 낙동대로1762번가길, 북구, Busan, (구포제1동)",부산광역시 북구 낙동대로1762번가길 43-0 (구포제1동)
166,", 11-0, 불당14로, 천안시 서북구, Chungcheongnam-do, (불당1동)",충청남도 천안시 서북구 불당14로 11-0 (불당1동)
167, 59-0 함양군 경상남도,경상남도 함양군 중동길 59-0 (안의면)
168,"Gunik-ro,461-3,,익산시,Jeollabuk-do,(송학동) $달러샵$",전라북도 익산시 군익로 461-3 (송학동)
169," 21-33 완도군 100,1001 김&장 customer office 전라남도",전라남도 완도군 강독길 21-33 (신지면)
170,"$달러샵$ Nam-gu,5-0,중앙로38번안길",광주광역시 남구 중앙로38번안길 5-0 (월산동)
171,"13-2, , Doryong-gil, Wonju-si, Suyeong Tax Office Building파란건물 Gangwon-do",강원특별자치도 원주시 도룡길 13-2 (신림면)
172, 62-0 customs office 100% 무들로 Gyeonggi-do (초월읍),경기도 광주시 무들로 62-0 (초월읍)
173,"677-0, Daeya-ro, Hapcheon-gun, Gyeongsangnam-do",경상남도 합천군 대야로 677-0 (대양면)
174,"20-0, , 원양신촌길, Hadong-gun, Gyeongsangnam-do",경상남도 하동군 원양신촌길 20-0 (양보면)
175,"20-117, , 삼안로112번길, Gimhae-si, Gyeongsangnam-do",경상남도 김해시 삼안로112번길 20-117 (삼안동)
176,"^ 452-0, 하로길, Gimcheon-si, Gyeongsangbuk-do",경상북도 김천시 하로길 452-0 (양금동)
177,", 285-0, 망월로, Goheung-gun, Jeollanam-do, (남양면)",전라남도 고흥군 망월로 285-0 (남양면)
178,"경상남도,10-0,향교길,Gimhae-si,경상남도",경상남도 김해시 향교길 10-0 (북부동)
179,^ 28-2  강릉시 Gangwon-do,강원특별자치도 강릉시 고동길 28-2 (주문진읍)
180,"30-16, , 해평1길, Yeongdong-gun, 충청북도",충청북도 영동군 해평1길 30-16 (매곡면)
181,"8-3, Hwanggu-gil, Namwon-si, 전라북도",전라북도 남원시 황구길 8-3 (금지면)
182,"Jeollanam-do, 담양군, , *^^* 21-10, (용면)",전라남도 담양군 박곡길 21-10 (용면)
183, @KIM 85-0 Joamnam-ro 대구광역시 (월성1동),대구광역시 달서구 조암남로 85-0 (월성1동)
184,Suyeong Tax Office Building파란건물 Jeollabuk-do-241-57-Sinjeong-gil-Gimje-si-Jeollabuk-do,전라북도 김제시 신정길 241-57 (용지면)
185,"166-20, , 여양1로, 여주시, Gyeonggi-do",경기도 여주시 여양1로 166-20 (대신면)
186,"105-0, Buseoksa-ro 298beon-gil, 영주시, 경상북도",경상북도 영주시 부석사로298번길 105-0 (부석면)
187,"전라북도,349-51,눈기러기로,Wanju-gun,전라북도",전라북도 완주군 눈기러기로 349-51 (비봉면)
188,Gyeongsangnam-do-68-2-양림간제방길-밀양시-Gyeongsangnam-do,경상남도 밀양시 양림간제방길 68-2 (상남면)
189,"홍성군,684-11,홍남로",충청남도 홍성군 홍남로 684-11 (광천읍)
190,"93-5, Seonso-ro 16beon-gil, Namhae-gun, Republic of Korea Gyeongsangnam-do",경상남도 남해군 선소로16번길 93-5 (남해읍)
191,"Suyeong Tax Office Building파란건물 Bongsan-ro,369-15,,예산군,충청남도,(봉산면)",충청남도 예산군 봉산로 369-15 (봉산면)
192,", 906-0, 왕릉로, Buyeo-gun, 충청남도, (석성면)",충청남도 부여군 왕릉로 906-0 (석성면)
193,", 55-0, 비석1길, Chungju-si, 충청북도, (엄정면)",충청북도 충주시 비석1길 55-0 (엄정면)
194,", 9-9, Yongjeong 2-gil, Goseong-gun, Gyeongsangnam-do, (동해면)",경상남도 고성군 용정2길 9-9 (동해면)
195,"1001ho1001동 Gangjin-gun,126-2,Jungang-ro",전라남도 강진군 중앙로 126-2 (강진읍)
196,"68-0, , Gusang-gil, 순천시, 전라남도",전라남도 순천시 구상길 68-0 (서면)
197,192-2  Yeonggwang-gun Jeollanam-do,전라남도 영광군 중앙로 192-2 (영광읍)
198,Gyeongsangnam-do-사천시-Geumgu-gil-47-0-(용현면) 지하&상가,경상남도 사천시 금구길 47-0 (용현면)
199,Suseo Police Station  725-110 Danjae-ro Chungcheongbuk-do (남일면),충청북도 청주시 상당구 단재로 725-110 (남일면)
200,전라북도-10-0-Oegeonwit-gil-Namwon-si-전라북도,전라북도 남원시 외건윗길 10-0 (인월면)
201,", 393-0, 김&장 미죽로, Dongnam-gu, Cheonan-si, Chungcheongnam-do, (풍세면)",충청남도 천안시 동남구 미죽로 393-0 (풍세면)
202,"Pungmu-ro 57beon-gil,41-0,,김포시,경기도,(풍무동)",경기도 김포시 풍무로57번길 41-0 (풍무동)
203,"3258-0, Gongnyong-ro, 고성군, Gyeongsangnam-do",경상남도 고성군 공룡로 3258-0 (고성읍)
204,"81-0, , 서남길, Haman-gun, Gyeongsangnam-do",경상남도 함안군 서남길 81-0 (칠원읍)
205,"Noseong-ro,579-0,,Nonsan-si,충청남도,(노성면) Suseo Police Station",충청남도 논산시 노성로 579-0 (노성면)
206,"경기도, 광주시, , 60-2, (경안동)",경기도 광주시 경안로 60-2 (경안동)
207,"7-0, Mosan-ro 161beon-gil, Asan-si, 충청남도",충청남도 아산시 모산로161번길 7-0 (배방읍)
208,"Gangwon-do, Hoengseong-gun, Suyeong Tax Office Building파란건물 , 275-46, (강림면)",강원특별자치도 횡성군 주천강로 275-46 (강림면)
209,"강진군,14-0,Yeongpo 1-gil ^",전라남도 강진군 영포1길 14-0 (군동면)
210,32-0  이음& 영월군 강원특별자치도,강원특별자치도 영월군 내성길 32-0 (영월읍)
211,"Chungcheongnam-do-Asan-si-월암로199번길-34-26-(음봉면) 100,1001 김&장 customer office",충청남도 아산시 월암로199번길 34-26 (음봉면)
212,8-15  Wonju-si 강원특별자치도,강원특별자치도 원주시 노림새말길 8-15 (부론면)
213,"87-0, Chojung 6-gil, Jeungpyeong-gun, 이음& 충청북도",충청북도 증평군 초중6길 87-0 (증평읍)
214,Gyeongsangnam-do-49-0-금산순환로444번길-Jinju-si-Gyeongsangnam-do 문 앞에 놔주세요,경상남도 진주시 금산순환로444번길 49-0 (금산면)
215,"서울특별시,(왕십리제2동),Seongdong-gu,무학봉15길,7-0 문 앞에 놔주세요",서울특별시 성동구 무학봉15길 7-0 (왕십리제2동)
216,"64-0, 학다리길, 완주군, 전라북도 노크 x",전라북도 완주군 학다리길 64-0 (봉동읍)
217,"17-5, 100% Hwajeon-ro 78beon-gil, 남해군, Gyeongsangnam-do",경상남도 남해군 화전로78번길 17-5 (남해읍)
218,"^ Yongji-gil,86-9,,익산시,전라북도,(함열읍)",전라북도 익산시 용지길 86-9 (함열읍)
219, 165-0 100% OFFICE 현내길 Gyeongsangbuk-do (진량읍),경상북도 경산시 현내길 165-0 (진량읍)
220,경기도-127-0-Madu 1-gil-평택시-경기도,경기도 평택시 마두1길 127-0 (서탄면)
221,"Taean-gun,297-22,Yongdo-ro",충청남도 태안군 용도로 297-22 (근흥면)
222, 16-20 Bongdong-gil Chungcheongnam-do (연무읍),충청남도 논산시 봉동길 16-20 (연무읍)
223, 200-3 아산만로 충청남도 (도고면) @KIM,충청남도 아산시 아산만로 200-3 (도고면)
224,서울특별시-Eunpyeong-gu-Jinheung-ro 11-gil-5-0-(대조동),서울특별시 은평구 진흥로11길 5-0 (대조동)
225,2-1  지하&상가 Uiryeong-gun 경상남도,경상남도 의령군 무전로2서길 2-1 (의령읍)
226,지하&상가 Jeollanam-do-11-0-Jangsujungang-gil-Goheung-gun-Jeollanam-do,전라남도 고흥군 장수중앙길 11-0 (포두면)
227,"서울특별시,(원효로제2동),Yongsan-gu,Hyochangwon-ro 12ga-gil,21-0",서울특별시 용산구 효창원로12가길 21-0 (원효로제2동)
228,"고서길, 68-3, 경상남도, 하동군 1001ho1001동",경상남도 하동군 고서길 68-3 (하동읍)
229,"28-62, Republic of Korea Gijinae-gil, 정읍시, Jeollabuk-do",전라북도 정읍시 기지내길 28-62 (태인면)
